Time,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Command_Vector,Thruster_1_Cmd,Thruster_1_Val,Thruster_2_Cmd,Thruster_2_Val,Thruster_3_Cmd,Thruster_3_Val,Thruster_4_Cmd,Thruster_4_Val,Thruster_5_Cmd,Thruster_5_Val,Thruster_6_Cmd,Thruster_6_Val
0.0050,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0100,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0150,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0200,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0250,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0300,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0350,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0400,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0450,1.00000,1.00000,1.00000,0.00000,0.00000,1.57080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.57080,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0500,1.00000,1.00000,1.00000,0.00001,-0.00001,1.57078,-0.00022,-0.00022,-0.00023,0.00595,-0.00595,-0.00595,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,-1.00000,-0.00001,0.00001,-1.57078,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0550,1.00000,1.00000,1.00000,0.00006,-0.00006,1.57074,-0.00044,-0.00044,-0.00047,0.01189,-0.01189,-0.01189,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,-1.00000,-0.00006,0.00006,-1.57074,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0600,1.00000,1.00000,0.99999,0.00013,-0.00013,1.57066,-0.00066,-0.00066,-0.00070,0.01784,-0.01784,-0.01784,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-1.00000,-1.00000,-0.99999,-0.00013,0.00013,-1.57066,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0650,0.99999,0.99999,0.99999,0.00024,-0.00024,1.57056,-0.00088,-0.00088,-0.00094,0.02378,-0.02378,-0.02378,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99999,-0.99999,-0.99999,-0.00024,0.00024,-1.57056,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0700,0.99999,0.99999,0.99999,0.00037,-0.00037,1.57042,-0.00110,-0.00110,-0.00117,0.02973,-0.02973,-0.02973,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99999,-0.99999,-0.99999,-0.00037,0.00037,-1.57042,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0750,0.99998,0.99998,0.99998,0.00054,-0.00053,1.57026,-0.00131,-0.00132,-0.00141,0.03567,-0.03567,-0.03567,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99998,-0.99998,-0.99998,-0.00054,0.00053,-1.57026,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
0.0800,0.99997,0.99997,0.99997,0.00073,-0.00073,1.57007,-0.00153,-0.00154,-0.00164,0.04162,-0.04162,-0.04162,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99997,-0.99997,-0.99997,-0.00073,0.00073,-1.57007,"[1.000, 0.000, 0.000, 1.000, 1.000, 0.000]",1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000
